"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2010","Offaly","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","20"
"Volume of Sales","2010","Offaly","New","Filings","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Offaly","New","Executions","Household Buyer - All","All Sale Types","Number","68"
"Volume of Sales","2010","Offaly","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","31"
"Volume of Sales","2010","Offaly","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","19"
"Volume of Sales","2010","Offaly","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","18"
"Volume of Sales","2010","Offaly","New","Executions","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Offaly","Existing","Filings","Household Buyer - All","All Sale Types","Number","235"
"Volume of Sales","2010","Offaly","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","89"
"Volume of Sales","2010","Offaly","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","110"
"Volume of Sales","2010","Offaly","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","36"
"Volume of Sales","2010","Offaly","Existing","Filings","Non-Household Buyer","All Sale Types","Number","7"
"Volume of Sales","2010","Offaly","Existing","Executions","Household Buyer - All","All Sale Types","Number","258"
"Volume of Sales","2010","Offaly","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","93"
"Volume of Sales","2010","Offaly","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","121"
"Volume of Sales","2010","Offaly","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","44"
"Volume of Sales","2010","Offaly","Existing","Executions","Non-Household Buyer","All Sale Types","Number","9"
"Volume of Sales","2010","Westmeath","New","Filings","Household Buyer - All","All Sale Types","Number","141"
"Volume of Sales","2010","Westmeath","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","66"
"Volume of Sales","2010","Westmeath","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","39"
"Volume of Sales","2010","Westmeath","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","36"
"Volume of Sales","2010","Westmeath","New","Filings","Non-Household Buyer","All Sale Types","Number","11"
"Volume of Sales","2010","Westmeath","New","Executions","Household Buyer - All","All Sale Types","Number","130"
"Volume of Sales","2010","Westmeath","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","62"
"Volume of Sales","2010","Westmeath","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","33"
"Volume of Sales","2010","Westmeath","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","35"
"Volume of Sales","2010","Westmeath","New","Executions","Non-Household Buyer","All Sale Types","Number","11"
"Volume of Sales","2010","Westmeath","Existing","Filings","Household Buyer - All","All Sale Types","Number","360"
"Volume of Sales","2010","Westmeath","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","137"
"Volume of Sales","2010","Westmeath","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","164"
"Volume of Sales","2010","Westmeath","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","59"
"Volume of Sales","2010","Westmeath","Existing","Filings","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2010","Westmeath","Existing","Executions","Household Buyer - All","All Sale Types","Number","345"
"Volume of Sales","2010","Westmeath","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","138"
"Volume of Sales","2010","Westmeath","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","161"
"Volume of Sales","2010","Westmeath","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","46"
"Volume of Sales","2010","Westmeath","Existing","Executions","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2010","Wexford","New","Filings","Household Buyer - All","All Sale Types","Number","226"
"Volume of Sales","2010","Wexford","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","94"
"Volume of Sales","2010","Wexford","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","85"
"Volume of Sales","2010","Wexford","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","47"
"Volume of Sales","2010","Wexford","New","Filings","Non-Household Buyer","All Sale Types","Number","20"
"Volume of Sales","2010","Wexford","New","Executions","Household Buyer - All","All Sale Types","Number","201"
"Volume of Sales","2010","Wexford","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","83"
"Volume of Sales","2010","Wexford","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","88"
"Volume of Sales","2010","Wexford","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","30"
"Volume of Sales","2010","Wexford","New","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2010","Wexford","Existing","Filings","Household Buyer - All","All Sale Types","Number","648"
"Volume of Sales","2010","Wexford","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","190"
"Volume of Sales","2010","Wexford","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","274"
"Volume of Sales","2010","Wexford","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","184"
"Volume of Sales","2010","Wexford","Existing","Filings","Non-Household Buyer","All Sale Types","Number","25"
"Volume of Sales","2010","Wexford","Existing","Executions","Household Buyer - All","All Sale Types","Number","671"
"Volume of Sales","2010","Wexford","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","193"
"Volume of Sales","2010","Wexford","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","284"
"Volume of Sales","2010","Wexford","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","194"
"Volume of Sales","2010","Wexford","Existing","Executions","Non-Household Buyer","All Sale Types","Number","23"
"Volume of Sales","2010","Wicklow","New","Filings","Household Buyer - All","All Sale Types","Number","256"
"Volume of Sales","2010","Wicklow","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","158"
